id,name,category,format,has_elicitation,file_path,status
sync-documentation,Sync Documentation,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/sync-documentation.md,active
tailwind-upgrade,Tailwind Upgrade,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/tailwind-upgrade.md,active
test-as-user,Test As User,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/test-as-user.md,active
test-validation-task,Test Validation Task,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/test-validation-task.md,active
undo-last,Undo Last,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/undo-last.md,active
update-aios,Update Aios,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/update-aios.md,active
update-manifest,Update Manifest,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/update-manifest.md,active
update-source-tree,Update Source Tree,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/update-source-tree.md,active
ux-create-wireframe,Ux Create Wireframe,general,TASK-FORMAT-V1,true,.aios-core/development/tasks/ux-create-wireframe.md,active
ux-ds-scan-artifact,Ux Ds Scan Artifact,general,TASK-FORMAT-V1,true,.aios-core/development/tasks/ux-ds-scan-artifact.md,active
ux-user-research,Ux User Research,general,TASK-FORMAT-V1,true,.aios-core/development/tasks/ux-user-research.md,active
validate-agents,Validate Agents,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/validate-agents.md,active
validate-next-story,Validate Next Story,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/validate-next-story.md,active
validate-tech-preset,Validate Tech Preset,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/validate-tech-preset.md,active
validate-workflow,Validate Workflow,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/validate-workflow.md,active
verify-subtask,Verify Subtask,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/verify-subtask.md,active
waves,Waves,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/waves.md,active
yolo-toggle,Yolo Toggle,general,TASK-FORMAT-V1,false,.aios-core/development/tasks/yolo-toggle.md,active
